,labels,predict
0,7.0,6.7143096923828125
1,7.0,7.350537300109863
2,7.0,6.760523796081543
3,7.0,6.853760719299316
4,7.0,6.837030410766602
5,7.0,6.73411750793457
6,7.0,6.917737007141113
7,7.0,6.779577255249023
8,7.0,6.963074684143066
9,7.0,6.629776954650879
10,7.0,5.761533737182617
11,7.0,6.573537826538086
12,7.0,6.81960391998291
13,7.0,7.004386901855469
14,7.0,6.914105415344238
15,7.0,6.196046829223633
16,7.0,6.431974411010742
17,7.0,6.9021406173706055
18,7.0,6.843349456787109
19,7.0,6.931661605834961
20,7.0,6.737659454345703
21,7.0,5.705461502075195
22,7.0,6.796849250793457
23,7.0,6.784093856811523
24,7.0,6.899269104003906
25,7.0,6.964241027832031
26,7.0,6.756749153137207
27,7.0,6.870417594909668
28,7.0,6.980219841003418
29,7.0,6.695993423461914
30,7.0,6.790583610534668
31,7.0,6.18174934387207
32,7.0,6.8072052001953125
33,7.0,6.926153182983398
34,7.0,6.57797908782959
35,7.0,6.744214057922363
36,7.0,6.964005470275879
37,7.0,6.245639801025391
38,7.0,6.868389129638672
39,7.0,6.925787925720215
40,7.0,6.957494735717773
41,7.0,6.822546005249023
42,7.0,6.910210609436035
43,7.0,7.005367279052734
44,7.0,6.897034645080566
45,7.0,5.715703010559082
46,7.0,6.70156192779541
47,7.0,6.830066680908203
48,7.0,6.903444290161133
49,7.0,6.893211364746094
50,7.0,7.050002098083496
51,7.0,5.903797149658203
52,7.0,6.967716217041016
53,7.0,6.932825088500977
54,7.0,6.588446617126465
55,7.0,6.764937400817871
56,7.0,6.700675010681152
57,7.0,6.883701324462891
58,7.0,7.041156768798828
59,7.0,6.7374725341796875
60,7.0,6.572136878967285
61,7.0,6.586296081542969
62,7.0,6.661357879638672
63,7.0,6.782073020935059
64,7.0,6.892906188964844
65,7.0,6.7255449295043945
66,7.0,6.518460273742676
67,7.0,6.661781311035156
68,7.0,6.894767761230469
69,7.0,6.866107940673828
70,7.0,6.878706932067871
71,7.0,6.829928398132324
72,7.0,6.904671669006348
73,7.0,6.956815719604492
74,7.0,6.40194034576416
75,7.0,6.947554588317871
76,7.0,6.950281143188477
77,7.0,6.276268005371094
78,7.0,6.395647048950195
79,7.0,6.842707633972168
80,7.0,6.6726484298706055
81,7.0,6.786501884460449
82,7.0,6.738804817199707
83,7.0,6.827445030212402
84,7.0,6.614319801330566
85,7.0,6.926567077636719
86,7.0,6.739154815673828
87,7.0,6.909584999084473
88,7.0,6.384560585021973
89,7.0,7.033905982971191
90,7.0,6.359496116638184
91,7.0,6.930279731750488
92,7.0,6.585212707519531
93,7.0,6.9355268478393555
94,7.0,7.049858093261719
95,7.0,6.883618354797363
96,7.0,6.795188903808594
97,7.0,6.866438865661621
98,7.0,6.637746810913086
99,7.0,6.739584922790527
